karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat,fkdr,wlr,bblr,fk_lev,bb_lev,kill_lev
5835.0,284279.0,210.0,0.0,294.0,135.0,10.0,1.0,0.0,16.0,0.0,0.0,54.0,2.0,3.0,30817.0,6971.0,210.0,163.0,10331.0,805.0,139.0,27.0,41.0,3.0,2.0,10.0,229.0,294.0,264.0,264.0,404.0,248.0,376.0,56.0,108.0,199.0,16.0,0,1.2838427947598254,0.06451612903225806,1.2883435582822085,29.4,40.4,21.0
45.0,562261.0,116.0,0.0,178.0,117.0,14.0,16.0,0.0,12.0,0.0,0.0,9.0,15.0,45.0,60680.0,7450.0,116.0,366.0,49780.0,983.0,689.0,450.0,35.0,8.0,1.0,6.0,386.0,178.0,396.0,396.0,428.0,384.0,558.0,148.0,75.0,195.0,12.0,0,0.46113989637305697,0.03125,0.31693989071038253,12.714285714285714,30.571428571428573,8.285714285714286
76995.0,987634.0,64.0,0.0,177.0,38.0,7.0,5.0,0.0,21.0,0.0,0.0,17.0,8.0,11.0,25853.0,2343.0,63.0,96.0,22412.0,400.0,295.0,219.0,5.0,2.0,2.0,4.0,106.0,91.0,153.0,154.0,246.0,125.0,195.0,14.0,31.0,102.0,21.0,0,0.8584905660377359,0.168,0.65625,13.0,35.142857142857146,9.0
1820.0,88887.0,74.0,0.0,90.0,39.0,4.0,0.0,0.0,12.0,0.0,0.0,15.0,5.0,0.0,10375.0,2819.0,74.0,39.0,7723.0,237.0,204.0,72.0,10.0,1.0,2.0,2.0,48.0,88.0,63.0,63.0,90.0,51.0,128.0,16.0,30.0,32.0,12.0,0,1.8333333333333333,0.23529411764705882,1.8974358974358974,22.0,22.5,18.5
0.0,370378.0,56.0,0.0,154.0,479.0,18.0,7.0,0.0,25.0,0.0,0.0,4.0,73.0,17.0,74699.0,9366.0,56.0,353.0,73894.0,947.0,2415.0,667.0,23.0,3.0,3.0,13.0,358.0,81.0,392.0,401.0,734.0,348.0,515.0,135.0,23.0,236.0,25.0,0,0.22625698324022347,0.07183908045977011,0.15864022662889518,4.5,40.77777777777778,3.111111111111111
25.0,240434.0,11.0,0.0,53.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2426.0,387.0,11.0,13.0,729.0,28.0,24.0,2.0,0.0,0.0,0.0,2.0,13.0,28.0,17.0,17.0,44.0,14.0,3.0,1.0,4.0,8.0,3.0,0,2.1538461538461537,0.21428571428571427,0.8461538461538461,9.333333333333334,14.666666666666666,3.6666666666666665
63904.0,12751039.0,1616.0,9.0,5231.0,2885.0,118.0,77.0,0.0,645.0,0.0,0.0,355.0,143.0,228.0,564549.0,49333.0,1611.0,1340.0,249801.0,6236.0,4828.0,1725.0,274.0,42.0,90.0,301.0,1293.0,2725.0,1973.0,2145.0,4802.0,1318.0,3109.0,394.0,751.0,1806.0,645.0,0,2.1075019334880123,0.48937784522003036,1.2022388059701492,23.093220338983052,40.69491525423729,13.652542372881356
235.0,63806.0,12.0,0.0,47.0,26.0,4.0,6.0,0.0,5.0,0.0,0.0,2.0,5.0,11.0,8244.0,697.0,12.0,21.0,7060.0,61.0,145.0,28.0,4.0,2.0,0.0,2.0,27.0,26.0,33.0,38.0,70.0,28.0,15.0,8.0,11.0,27.0,5.0,0,0.9629629629629629,0.17857142857142858,0.5714285714285714,6.5,17.5,3.0
287560.0,6713589.0,1803.0,0.0,6088.0,132.0,44.0,43.0,0.0,849.0,0.0,0.0,131.0,15.0,126.0,208885.0,24676.0,1794.0,118.0,37865.0,1470.0,3065.0,1088.0,39.0,3.0,79.0,138.0,42.0,3047.0,899.0,937.0,2569.0,48.0,790.0,14.0,743.0,1053.0,848.0,0,72.54761904761905,17.666666666666668,15.203389830508474,69.25,58.38636363636363,40.77272727272727
654465.0,4665999.0,545.0,0.0,1500.0,428.0,38.0,53.0,0.0,149.0,0.0,0.0,112.0,110.0,150.0,179080.0,20313.0,544.0,852.0,97290.0,3462.0,3441.0,1818.0,44.0,23.0,18.0,55.0,890.0,771.0,1066.0,1112.0,2200.0,904.0,2090.0,302.0,239.0,966.0,149.0,0,0.8662921348314607,0.16482300884955753,0.6384976525821596,20.289473684210527,57.89473684210526,14.31578947368421
4529185.0,17557309.0,3845.0,24.0,11716.0,7400.0,243.0,125.0,0.0,1332.0,0.0,0.0,728.0,685.0,375.0,1180106.0,127825.0,3823.0,4315.0,1236201.0,16205.0,23616.0,14471.0,549.0,202.0,220.0,587.0,4167.0,6138.0,5795.0,5930.0,12100.0,4448.0,9127.0,1434.0,1843.0,5081.0,1332.0,0,1.4730021598272138,0.2994604316546763,0.8859791425260718,25.25925925925926,49.794238683127574,15.732510288065845
74330.0,2655683.0,1548.0,9.0,3612.0,1121.0,51.0,13.0,0.0,447.0,0.0,0.0,287.0,255.0,27.0,242165.0,31763.0,1524.0,911.0,150086.0,1658.0,8936.0,7785.0,35.0,20.0,46.0,115.0,734.0,1889.0,1243.0,1304.0,3081.0,782.0,810.0,291.0,521.0,1198.0,447.0,0,2.5735694822888284,0.571611253196931,1.6728869374313942,37.03921568627451,60.411764705882355,29.88235294117647
145645.0,1466015.0,642.0,1.0,2382.0,642.0,46.0,47.0,0.0,246.0,0.0,0.0,127.0,116.0,130.0,220949.0,32387.0,642.0,893.0,161157.0,2347.0,3874.0,2448.0,68.0,22.0,38.0,92.0,906.0,1248.0,1144.0,1170.0,2978.0,896.0,1214.0,259.0,386.0,1003.0,246.0,0,1.3774834437086092,0.27455357142857145,0.7189249720044792,27.130434782608695,64.73913043478261,13.956521739130435
737015.0,5716349.0,662.0,0.0,1628.0,431.0,49.0,41.0,0.0,194.0,0.0,0.0,152.0,75.0,122.0,234682.0,13301.0,659.0,283.0,143852.0,1136.0,2615.0,1206.0,33.0,5.0,23.0,47.0,249.0,941.0,448.0,536.0,1263.0,254.0,589.0,87.0,234.0,405.0,194.0,0,3.7791164658634537,0.7637795275590551,2.3286219081272086,19.20408163265306,25.775510204081634,13.448979591836734
5.0,93055.0,67.0,0.0,158.0,10.0,4.0,0.0,0.0,12.0,0.0,0.0,15.0,6.0,0.0,9672.0,685.0,67.0,8.0,6845.0,53.0,130.0,13.0,3.0,0.0,1.0,4.0,16.0,84.0,43.0,44.0,63.0,31.0,15.0,1.0,25.0,16.0,12.0,0,5.25,0.3870967741935484,8.375,21.0,15.75,16.75
8495.0,901938.0,77.0,0.0,414.0,83.0,10.0,4.0,0.0,66.0,0.0,0.0,11.0,22.0,0.0,41992.0,4358.0,77.0,173.0,31338.0,632.0,2425.0,1010.0,8.0,3.0,3.0,20.0,200.0,260.0,299.0,301.0,783.0,230.0,363.0,90.0,57.0,286.0,65.0,0,1.3,0.2826086956521739,0.44508670520231214,26.0,78.3,7.7
8495.0,901938.0,77.0,0.0,414.0,83.0,10.0,4.0,0.0,66.0,0.0,0.0,11.0,22.0,0.0,41992.0,4358.0,77.0,173.0,31338.0,632.0,2425.0,1010.0,8.0,3.0,3.0,20.0,200.0,260.0,299.0,301.0,783.0,230.0,363.0,90.0,57.0,286.0,65.0,0,1.3,0.2826086956521739,0.44508670520231214,26.0,78.3,7.7
