karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
695,592384.0,160,0,410,278,13,12,0,40,0,0,34,73,33,53190,7517,159,217,56527,575,2172,1106,17,10,7,30,212,222,257,258,681,217,266,50,65,221,40,0
5835,284279,210,0,294,135,10,1,0,16,0,0,54,2,3,30817,6971,210,163,10331,805,139,27,41,3,2,10,229,294,264,264,404,248,376,56,108,199,16,0
45,562261,116,0,178,117,14,16,0,12,0,0,9,15,45,60680,7450,116,366,49780,983,689,450,35,8,1,6,386,178,396,396,428,384,558,148,75,195,12,0
76995,987634.0,64,0,177,38,7,5,0,21,0,0,17,8,11,25853,2343,63,96,22412,400,295,219,5,2,2,4,106,91,153,154,246,125,195,14,31,102,21,0
1820,88887,74,0,90,39,4,0,0,12,0,0,15,5,0,10375,2819,74,39,7723,237,204,72,10,1,2,2,48,88,63,63,90,51,128,16,30,32,12,0
0,370378.0,56,0,154,479,18,7,0,25,0,0,4,73,17,74699,9366,56,353,73894,947,2415,667,23,3,3,13,358,81,392,401,734,348,515,135,23,236,25,0
25,240434,11,0,53,4,3,0,0,3,0,0,0,0,0,2426,387,11,13,729,28,24,2,0,0,0,2,13,28,17,17,44,14,3,1,4,8,3,0
63904,12751039.0,1616,9,5231,2885,118,77,0,645,0,0,355,143,228,564549,49333,1611,1340,249801,6236,4828,1725,274,42,90,301,1293,2725,1973,2145,4802,1318,3109,394,751,1806,645,0
235,63806,12,0,47,26,4,6,0,5,0,0,2,5,11,8244,697,12,21,7060,61,145,28,4,2,0,2,27,26,33,38,70,28,15,8,11,27,5,0
287560,6713589.0,1803,0,6088,132,44,43,0,849,0,0,131,15,126,208885,24676,1794,118,37865,1470,3065,1088,39,3,79,138,42,3047,899,937,2569,48,790,14,743,1053,848,0
654465,4665999.0,545,0,1500,428,38,53,0,149,0,0,112,110,150,179080,20313,544,852,97290,3462,3441,1818,44,23,18,55,890,771,1066,1112,2200,904,2090,302,239,966,149,0
4529185,17557309.0,3845,24,11716,7400,243,125,0,1332,0,0,728,685,375,1180106,127825,3823,4315,1236201,16205,23616,14471,549,202,220,587,4167,6138,5795,5930,12100,4448,9127,1434,1843,5081,1332,0
74330,2655683.0,1548,9,3612,1121,51,13,0,447,0,0,287,255,27,242165,31763,1524,911,150086,1658,8936,7785,35,20,46,115,734,1889,1243,1304,3081,782,810,291,521,1198,447,0
145645,1466015.0,642,1,2382,642,46,47,0,246,0,0,127,116,130,220949,32387,642,893,161157,2347,3874,2448,68,22,38,92,906,1248,1144,1170,2978,896,1214,259,386,1003,246,0
737015,5716349,662,0,1628,431,49,41,0,194,0,0,152,75,122,234682,13301,659,283,143852,1136,2615,1206,33,5,23,47,249,941,448,536,1263,254,589,87,234,405,194,0
5,93055,67,0,158,10,4,0,0,12,0,0,15,6,0,9672,685,67,8,6845,53,130,13,3,0,1,4,16,84,43,44,63,31,15,1,25,16,12,0
8495,901938.0,77,0,414,83,10,4,0,66,0,0,11,22,0,41992,4358,77,173,31338,632,2425,1010,8,3,3,20,200,260,299,301,783,230,363,90,57,286,65,0
8495,901938.0,77,0,414,83,10,4,0,66,0,0,11,22,0,41992,4358,77,173,31338,632,2425,1010,8,3,3,20,200,260,299,301,783,230,363,90,57,286,65,0
127010,422090.0,69,0,262,74,7,0,0,37,0,0,14,22,0,24110,3707,68,118,24145,550,551,208,21,4,5,22,222,148,292,292,356,252,173,33,50,132,37,0
19359902,107757699.0,4449,30,11605,5795,429,250,139084,2158,0,0,864,591,746,2083988,108359,4398,1740,5098232,9984,22697,8289,313,47,206,475,1303,8661,3451,3896,9907,1287,5315,614,2418,3656,2148,0
5358265,40172706.0,3643,29,12255,12291,455,11,65540,3000,0,0,632,613,31,2211131,156673,3599,2501,3601453,15424,22603,11872,731,118,249,743,2103,9330,5011,5366,11559,2009,7318,750,3024,5212,2994,0
23805,544296.0,121,0,356,207,14,1,0,93,0,0,26,16,0,52644,5997,121,148,41811,828,639,350,27,3,1,13,137,179,231,232,438,133,382,53,80,235,92,0
1740,1523770.0,598,2,3557,2165,55,53,0,360,0,0,130,109,159,265858,26793,597,779,226265,3544,3624,2073,137,24,50,235,769,1912,1135,1370,4909,771,1393,150,562,1687,360,0
1225,149657,4,0,27,1,1,0,0,2,0,0,0,0,0,990,105,4,0,197,8,3,4,0,0,0,0,1,16,5,5,17,3,3,0,6,8,2,0
250,500386.0,202,0,862,260,16,18,0,116,0,0,41,36,54,71834,6337,202,195,62142,1208,1107,865,43,5,12,27,213,433,341,341,725,224,680,88,119,295,116,0
26600,7370622.0,578,0,2143,547,84,97,0,290,0,0,77,402,287,409914,47399,578,1756,31876,7067,12385,4279,194,32,30,183,1719,1078,2089,2127,5008,1771,4217,629,284,1901,290,0
245,115459,74,0,262,65,9,0,0,42,0,0,11,9,0,30442,5099,74,92,24558,420,299,518,17,5,5,11,101,147,153,158,328,111,204,36,58,162,42,0
1300,30250,6,0,15,1,2,0,0,10,0,0,2,0,0,2365,183,6,3,490,12,18,1,1,0,0,0,3,15,13,13,3,3,9,2,7,2,10,0
40,31749,18,0,46,10,3,1,0,5,0,0,5,3,0,4778,838,18,33,910,56,87,163,0,2,2,1,37,33,52,52,94,47,30,17,6,22,5,0
0,54512,51,0,183,19,3,0,0,17,0,0,14,0,0,4234,705,51,11,1584,34,48,17,0,0,1,2,13,186,30,30,71,13,15,3,25,14,17,0
6470,68406,29,0,28,28,2,2,0,5,0,0,6,4,5,2225,297,28,3,615,20,66,4,0,0,0,2,1,28,6,6,26,1,9,0,6,11,5,0
0,436,0,0,0,0,1,0,0,0,0,0,0,0,0,650,0,0,8,132,17,0,0,0,0,0,0,11,0,23,24,1,23,4,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,0,0,6,120,16,0,0,0,0,0,0,13,0,22,22,0,22,0,0,0,0,0,0
0,22780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
