MCID,Solo_W,Solo_L,Doubles_W,Doubles_L,3s_W,3s_L,4s_W,4s_L,4v_W,4v_L,Ws,Solo_FD,Solo_FK,Doubles_FD,Doubles_FK,3s_FD,3s_FK,4s_FD,4s_FK,4v_FD,4v_FK,UUID,Rank,Star,Online,'queue',fkdr_solo,fkdr_doubles,fkdr_3s,fkdr_4s,fkdr_4v,time
sirowy,5,1,3,1,0,0,1,0,8,0,0,1,20,1,17,0,0,0,1,0,22,0868bf672be6408eaf47cc689dedf499,VIP,3,False,19,0,0,0,0,0,1713539617.5910618
Evil_Hax,4,0,0,0,0,0,0,0,15,1,0,0,17,0,0,0,0,0,0,0,44,e3e979b1bd9f457e8149ebad44937e6c,VIP,6,False,37,0,0,0,0,0,1713539617.6822202
Im_AlexPro,10,1,0,1,0,0,0,0,7,0,0,1,37,1,1,0,0,0,0,0,21,5138dad42738490783ddd737b2005336,VIP,6,False,20,0,0,0,0,0,1713539617.8690197
finawi,27,1,75,4,292,9,495,16,338,2,0,1,125,5,344,10,615,25,1148,2,337,f0952f1ad5244041aaf780f50717177a,MVP_PLUS,100,False,1277,0,0,0,0,0,1713539618.0438032
_Thorium,127,805,388,986,831,619,2339,750,340,304,0,791,895,955,1886,635,1846,858,5387,312,306,3ec29cbc251747ed948f4ff8cfec4276,MVP_PLUS,432,False,8143,0,0,0,0,0,1713539618.2424848
Ellemii,59,141,245,251,561,210,852,293,250,39,0,124,293,258,1229,238,1819,351,2759,39,312,ef2304eb6b7e4a849f16e9a02911d62e,MVP_PLUS,133,False,3022,0,0,0,0,0,1713539618.4016793
Luxer,100,104,446,224,321,48,1095,244,108,19,0,103,439,254,1883,61,842,301,3212,18,139,d1b5d325784c4fc1a712427c2be81611,MVP_PLUS,264,False,2835,0,0,0,0,0,1713539618.5543065
bonj1,92,174,40,94,281,120,1612,3606,7,4,0,172,464,100,247,127,972,3679,8469,4,5,4f4af0573e5d4a37ad16cdaf3258270f,MVP_PLUS,489,False,7686,0,0,0,0,0,1713539618.764162
o_oAoi,444,87,303,36,708,178,2579,433,4,0,0,73,2232,31,1983,191,4508,471,14192,1,3,5c96e87bcb44417ea616333eb0525d36,MVP_PLUS,145,False,4844,0,0,0,0,0,1713539618.9555504
Secu_uwu_r3d_Aoi,558,264,2598,513,1908,678,4146,470,737,28,0,212,2283,593,11919,666,6247,544,15133,28,980,89a0b4d15dfb42119edf2f92c671064c,MVP_PLUS,823,False,12631,0,0,0,0,0,1713539619.1620183
finai,799,1210,869,885,1078,346,3688,1415,878,368,3,1201,3856,947,4164,383,2710,1598,10594,375,1081,2d1dbc93219a4d349bed45da1aab0665,MVP_PLUS,763,False,12109,0,0,0,0,0,1713539619.366451
yuzu555,61,48,712,339,1379,212,5938,1149,394,11,0,47,246,363,3365,238,3729,1260,15508,11,464,399aa24f88ed42eaacd8b8df6d58f5eb,MVP_PLUS,686,False,10981,0,0,0,0,0,1713539619.6661367
AI_dodgingmethod,23,1,6,0,38,1,87,0,0,0,0,1,87,0,33,1,150,0,385,0,0,a2905aece45b4d118e75e05d8faafd49,SUPERSTAR,19,False,174,0,0,0,0,0,1713539619.8356154
KOISISAN,51,36,83,113,146,22,398,55,278,278,0,36,204,117,373,26,314,67,950,287,184,ace25f87b95f4fb6bebb2068f3a9f4d7,MVP_PLUS,106,False,1602,0,0,0,0,0,1713539619.9590342
0LtJ,5,41,9,46,247,87,935,347,310,87,0,41,40,46,49,100,411,410,1580,89,325,0981bdd524054806857bfbec8dfa905e,MVP_PLUS,252,False,2635,0,0,0,0,0,1713539620.1805892
KOISISAN,51,36,83,113,146,22,398,55,278,278,0,36,204,117,373,26,314,67,950,287,184,ace25f87b95f4fb6bebb2068f3a9f4d7,MVP_PLUS,106,False,1602,0,0,0,0,0,1713539620.3682392
Causeaways,885,495,716,197,601,41,517,69,403,2,0,494,3458,219,2922,59,1402,82,1404,3,451,f220167b247c4f4da8b69623b55a7b2d,SUPERSTAR,187,False,4053,0,0,0,0,0,1713539620.5053086
Zerosho,91,255,541,1564,531,529,1129,1187,141,13,0,264,488,1585,4239,543,1697,1238,3264,12,156,a66ac9cee0c14a1a9e93b6cae46ed221,MVP_PLUS,496,False,6249,0,0,0,0,0,1713539620.6856253
Laundly,416,272,639,685,423,398,3569,2142,320,57,0,267,1619,696,3283,410,1203,2220,13946,60,519,75ffe21720ed4852a9e18fd44f2bbfd1,MVP_PLUS,748,False,11540,0,0,0,0,0,1713539620.952273
TrinoLine,156,1196,704,967,1224,391,3271,1020,250,20,0,872,1026,980,3048,439,2846,1111,7835,20,245,f1c156ecab0b4eab9912b253a32e7e21,MVP_PLUS,670,False,9714,0,0,0,0,0,1713539621.1599104
Tsugu,0,0,23,11,285,33,280,41,5,1,0,0,0,13,79,41,717,54,637,1,8,66017f4f71c043e1b25baa9618e9b7ac,MVP_PLUS,82,False,689,0,0,0,0,0,1713539621.4647727
Sakamata_Kuroe,63,123,70,115,1332,371,3479,867,334,40,0,106,250,118,356,410,4025,978,9916,41,398,a9c0a8e1db7a4485802c441e3ff39318,MVP_PLUS,476,False,6983,0,0,0,0,0,1713539622.1664877
YangThug,19,118,138,252,617,363,1296,1925,286,169,0,116,108,260,585,400,1517,1975,2816,181,219,2f44c4e1e8924827bb998b7a300226b4,MVP_PLUS,423,False,6518,0,0,0,0,0,1713539622.2890952
reimudaisuki,900,1138,1712,1131,804,165,2150,361,401,9,0,1100,4111,1202,8385,187,2296,397,6430,9,345,3cf44ecaebfb485eae0d7d3fb5f742e4,MVP_PLUS,513,False,9008,0,0,0,0,0,1713539622.5836542
untikb,31,15,12,0,2,1,260,30,22,0,1,15,130,1,62,2,6,38,580,0,17,034a0cd812f8429ca94cf0b991c6fd52,VIP_PLUS,24,False,373,0,0,0,0,0,1713539622.7473712
Hurutin,1292,2617,558,1459,771,743,1713,1161,471,84,0,2493,6796,1434,3422,728,2341,1265,5117,85,492,f8588744082f405e9e8f5084f80a0f9e,MVP_PLUS,756,False,11977,0,0,0,0,0,1713539623.0741663
awakamay,792,2079,147,163,805,140,2568,2443,279,68,0,2018,2182,159,570,152,1523,2507,8024,76,398,552a7288a2864adbb31f52bc75a073be,MVP_PLUS,928,False,11974,0,0,0,0,0,1713539623.6670153
Mikazuki_Yozora_,23,23,45,48,71,25,432,432,25,3,0,20,99,48,223,28,199,451,1824,3,35,483b6d79ceed41519c0b6356555bdc0a,NONE,105,False,1812,0,0,0,0,0,1713539623.766427
TheArelly,267,13,52,2,145,2,469,12,986,2,63,7,1087,3,227,4,394,15,1185,2,1032,2cbb3a5e3cb14704ac664649e8a8689f,MVP_PLUS,72,False,2014,0,0,0,0,0,1713539623.9546478
hrjhrj,43,176,60,155,63,36,598,1246,407,330,0,176,261,145,373,42,155,1299,1795,339,374,d8b5121c1c844fcbb0e20097e7159303,VIP,140,False,3701,0,0,0,0,0,1713539624.1136277
TSgame0912,810,2290,388,914,574,401,967,1079,2094,1156,0,2289,3952,940,2339,439,1760,1143,3329,1211,3415,bebb7800fb4749a98ef81a47c88cd0b5,MVP_PLUS,964,False,14258,0,0,0,0,0,1713539624.2673714
mwr1,11,14,390,208,522,107,1184,217,2906,611,0,14,35,233,1280,125,971,286,2327,655,3568,4668dc1ee50746bf8810814b31c08db1,MVP_PLUS,543,False,7903,0,0,0,0,0,1713539624.8932436
sasasiy,34,54,466,238,130,41,1932,424,93,14,0,54,157,255,1783,48,291,514,5250,17,134,c1e45387a7b241b4aa5001bbf58ed4d8,MVP_PLUS,358,False,3683,0,0,0,0,0,1713539625.1578007
MenY,66,89,2343,669,383,72,1981,440,1639,61,0,52,269,670,8473,76,756,356,4310,55,1396,71693806070b46b6beffebe471236dbc,SUPERSTAR,403,False,8102,0,0,0,0,0,1713539625.8832588
yuuseikunn,213,429,1301,1822,1163,654,2727,2688,896,136,13,403,997,1882,6717,681,3729,2781,9846,129,1225,8adbd775f71649e996b7ec0744b7a1af,MVP_PLUS,1085,False,14470,0,0,0,0,0,1713539626.8710287
itqru,130,813,258,1735,461,806,1810,4090,913,634,3,793,776,1732,1821,824,1308,4249,4837,672,1007,33cd7e60803d4c3494f4352332b3cbe0,MVP_PLUS,703,False,12156,0,0,0,0,0,1713539627.4232752
LoFue,47,631,125,673,133,394,291,1081,419,278,0,597,416,680,761,396,421,1096,800,300,545,9da0fdd51c724d64b2de612a68c0b4c0,MVP_PLUS,258,False,4283,0,0,0,0,0,1713539628.1462288
